timestamp,vehicle_id,date,field,issue_code,action,original_value,new_value,reason
2026-08-26T21:11:07,VH-029,2024-05-03,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-009,2024-02-07,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-010,2024-07-24,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-017,2024-03-12,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-035,2024-10-06,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-013,2024-04-27,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-014,2024-04-14,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-005,2024-01-21,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-004,2024-03-08,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-005,2024-02-28,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-011,2024-08-06,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-038,2024-06-23,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-005,2024-05-31,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-002,2024-11-21,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-020,2024-09-10,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-020,2024-07-26,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-011,2024-01-07,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-029,2024-12-20,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-026,2024-02-02,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-016,2024-01-13,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-019,2024-05-17,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-028,2024-11-14,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-029,2024-10-31,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-027,2024-02-29,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-013,2024-11-07,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-032,2024-10-21,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-028,2024-07-22,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-039,2024-11-08,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-020,2024-01-10,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-009,2024-03-16,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-028,2024-03-28,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-019,2024-01-18,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-006,2024-01-25,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-004,2024-04-18,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-027,2024-11-29,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-037,2024-01-28,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-008,2024-07-26,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-033,2024-05-05,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-024,2024-10-30,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-009,2024-12-06,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-015,2024-07-22,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-011,2024-06-23,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-008,2024-09-17,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-040,2024-05-30,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-011,2024-12-29,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-029,2024-09-27,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
2026-08-26T21:11:07,VH-008,2024-05-02,(record),DUPLICATE_RECORD,DROP_ROW,DUPLICATE,REMOVED,"Duplicate (vehicle_id, date) pair — keeping first occurrence."
